icd10_code,text
Y,causa deportiva lugar externa cancha pista
I,inferior inflamacion plantar venas varicosas ulcerativa parte pies superficie media extremidad
E,tipo asociado diabetica desprendimiento retina ojo proliferativa a
S,osteoarticulares ligamento izquierda
G,cronico postraumatica posterior dolor cabeza cabelludo cefalea cuero conmocion
O,fetal
J,plch adulto histiocitosis langerhans
G,persistente idiopatica migraña
R,ataxia ataxico
L,dermatitis herpetiforme juvenil
S,manos flexor anular muñeca tendon izquierda
Q,costilla supernumeraria region cervical
Z,encaramiento postrado cama
A,peneana herpetico tracto
Z,seguimiento completar despues terapia
F,animo deprimido depresion posparto severa depresion depresivo leve posparto
J,linfangiomiomatosis linfangioleiomiomatosis
B,reino culbertson amebiasis amebozoa meningomielitis meningocerebritis libre amebiana encefalomeningitis
F,marihuana hachis thc l
T,contacto
F,intelectual
J,sinusitis etmoidal
N,piogeno bacteria abscesos testiculo
P,749 encima
R,abdomen rigidez
E,izquierdo
Q,espondiloepifisaria espondiloepifisaria espondiloepifisiaria
I,no capilares obliterante derivacion otro derecha
Z,digestivos
O,amnioticas membranas feto sindrome
H,intrarretiniana neovascularizacion derecha
O,trimestre dos embarazo fetos cuadruple monoamnioticos
V,categoriast36
F,demencia inhalante inhalacion
L,ulcera estadio izquierdo
N,sanguinea
G,cefalea cronico postraumatica cefalea postraumatica
E,gm2 amaurotica tay
I,social subaracnoidea
N,postraumatica masculina
U,afeccion 19 pos
F,trastorno depresivo afeccion fisiologica conocida rasgos mixtos trastorno bipolar asociado debidos afeccion fisiologica conocida rasgos mixtos
S,contusion dcho otro
N,femenino tracto izquierda trompa
V,contacto ahogamiento a sin e
U,covid
O,hospitalizacion no trimestre atencion
S,rotura traumatica arterial femoral seccion transversal completa arteria femoral izq
M,artritis reumatoide juvenil factor reumatoide
G,rem sueño
C,maligno derecho neoplasia piel superior
R,alterado
U,relacionado daño pulmonar relacionado cigarrillo electronico
P,kernicterus encefalopatia
I,seroma estructura despues cateterismo
R,fatiga
F,mentales conducta debidos consumo sustancias psicoactivas
V,inicial objeto autobus colision contacto accidente pasajero lesionado
R,ano evidencia citologica malignidad frotis
J,neumonias hipostatica microorganismo
B,parastrongylus angioestrongiliasis
A,tuberculosis meninges cerebro espinal leptomeningitis tuberculosa
D,sarcoidosis nefropatia tubulo intersticial
K,nocardia flemon abscesos abdominopelvico inflamacion
E,especificados mellitus tipos intercapilar glomeruloesclerosis
N,otros tipos insuficiencia l
G,l sindromes posencefalitico hipocineticos rigidos
V,tranvia exterior trolebus persona vagon
Z,niveles monitorizacion contacto terapeutica farmacos monitorizacion
W,disparo accidental pistola balines disparo accidental arma perdigones
H,categoria baja ojos i izquierdo ceguera
I,hipertension
Y,contacto
L,psoriasis
J,gripe tipos encefalopatia gripe a otros virus
A,intoxicacion repeticion difficile difficile alimentario clostridium
Q,talipes pie
J,faringitis granular cronica dolor garganta cronico
I,vena yugular interna derecha
P,vez metabolica primera nacido acidemia recien parto detectada
U,vapeo trastorno lesion relacionado pulmon
N,glomerulonefritis proliferativa difuso glomerulonefritis
L,no
S,ligamento subluxacion
I,derecho monoplejia
N,asociada artificial fecundacion a
Q,estrechez subglotica grado grado cottonmyer congenito laringe congenito estenosis
R,bulto derecha superficiales nodulos subcutaneos localizados
I,arteriosclerosis derecho
I,lado afectacion derecho tras sangrado otro intracerebral paresia
Z,categoriast36
Z,otros acroosteolisis problemas
Q,acortamiento especificados bilateral
D,fuertemente compactas mixtas negro glomerulosas suprarrenal feocromocitoma
Z,cuidados cirugia contacto sistema nervioso posquirurgicos
J,macleod izquierda
U,lesion pulmonar relacionada cigarrillo electronico daño pulmon relacionado cigarrillo electronico
O,posicion prenatal atencion
Z,promiscuidad bisexual
Q,congenita luxacion
W,afilado especificado contacto
K,hepatopatia toxica hepatitis lupoide hepatopatia idiosincrasica inducida farmacos capsula
O,coagulacion equimosis
Y,inicial legal persona
Z,clasificables afecciones c7a098
L,afecta sitio
M,osteocondritis disecante
C,organos
L,mano antrax derecha
E,bocio tirotoxicosis difusa
T,autolesion cobre
M,neumococica artritis muñecas
O,materna crecimiento conocido atencion
E,deshidrogenasa graso
U,vapeo relacionado
G,dolor atipico facial atipico
V,furgoneta accidente pasajero camioneta camioneta
W,contacto saliva heces u orina mamiferos
H,analgesia hipoestesia derecho
I,enfermedades pulmonar cardiacas pulmonar circulacion
N,enfermedades ulceraciones clasificadas concepto bajo otro otras vulva
Q,completo patuloso
U,covid 19 pos afeccion
U,respiratoria miocardio rabdomiolisis
I,interauricular defecto tabique miocardio agudo complicacion tras
Q,malformaciones deformacion imperforado faringe congenitas
J,interlobular vesicular centrolobulillar
K,pancreatica inflamacion aguda
Z,shock anafilactico anafilaxia
Z,contacto observacion
P,parto aspiracion
C,maligno neoplasia vejiga cuello
N,quiste epididimo
A,zoonosis ciertas enfermedad gato bacterianas arañada
E,tipo tipo sindrome c sanfilippo sanfilippo b sindrome
K,perdida epitelio hemilengua derecha queratinizacion minima mucosa reborde alveolar
Q,ortotopico ureterocele ortotopico
Y,roca muro roca
R,hipersensibilidad sensitivo
H,trastornos afectan multiples estructuras ocular ambos
H,corneal ectasia derecho
N,infeccion urinarias vias
J,enfermedades pleural
J,mrsa posanestesica
H,inconsciencia ambos comatoso
Z,anticuerpos inmunidad
R,distension abdominal gases distendido
Q,peneano congenita torsion
C,mujer mama adenocarcinoma
M,artritis reumatoide seropositiva l carditis reumatoidea
A,a estreptococo
M,region cervical cifosis
M,calcio bolsa pie deposito
K,erosiva gastritis
L,infeccion uña perioniquia derecho
D,mastocitosis mastocitos mastocitoma tumor
C,difusa b celulas precursores precursoras linfoma linfoma t
V,vehiculo coche colision contacto ocupante motorizado tres
C,huesos inferiores extremidad cortos maligna neoplasia
B,lesion viruela vacuna caracterizadas piel infecciones virales
M,fibrodisplasia progresiva osificante
J,fallido cronico
H,oi conica
W,lesion perforacion corte aplastamiento pellizco debidos mecanismo deslizamiento gatillo mira telescopica u otra pieza arma fuego
S,no luxacion dedo manos
H,nasolacrimal estenosis
F,cafeina anfetamina
K,pancreas inflamacion
O,medular seroso osea
O,atencion rh
Y,intervencion sospechoso lesiones dinamita lesionado contacto legal
A,tuberculosis otros organos
M,libre intraarticular
I,diseccion iliaca
H,ocular seco trastorno ambos
M,importante incompleta izquierda femur contacto deterioro pierna consolidacion atipica sucesivo
I,izq arteriolosclerosis endarteritis obliterante deformante
K,dentaria erupcion
Q,congenitas
K,hemorragia perforacion gastrico ulcera cronico
M,artropatia traumatica
M,region tipos
U,covid
G,extremidades superiores cubital
Q,perineal hipospadias
U,covid afeccion pos
C,linfoide hemopoýetico malignas relacionados neoplasias tejidos
T,sustancia contacto toxico inicial efecto agresion corrosiva
L,ulcera tropical
Z,clasificables reparadas congenito anomalias q00q89 afecciones sido corregidas
O,equimosis
M,vellonodular rodilla sinovitis
G,trastorno landaukleffner epilepsias sindromes epilepticos determinar tipo focal generalizados
O,afecciones listadas feto razon hospitalizacion u otra atencion obstetrica madre interrupcion gestacion
W,contacto basura contacto dispositivo abrelatas electrodomesticos licuadora contacto
O,afecciones listadas feto razon hospitalizacion u otra atencion obstetrica madre interrupcion embarazo
Z,colostomia cuidados
O,atencion presentacion frente otro
E,lipedema izquierda
Z,contacto enfermedades sospecha exposicion
M,osteocondritis epifisitis
S,traumatismos
N,depositos densos nefropatia enfermedades
C,carcinoma epidermico neoplasia maligna hemangiosarcoma
G,trombosis blanda posterior isquemia isquemia
U,pulmonar relacionada daño cigarrillo electronico lesion pulmonar cigarrillo electronico lesiones dabbing relacionada pulmonar relacionado
S,fracturas derecho
Q,impenetrable atresia ureter
U,covid 19
Z,familiar mama neoplasia historia maligna
K,clase periodontales
J,pulmonares grafito deposicion inorganico
J,mixta mucopurulenta mixta
H,izquierda conjuntivas
M,espondilitis traumatica region toracica
U,afeccion pos covid 19
R,posicion dependiente dependiente
F,extasis consumo
S,amputacion traumatica inicial izquierdo
J,alergico rinitis hongos rinitis
Q,pulmon derecha defectuoso
A,rotura dilatacion intratoracico arterial seudoaneurisma sanguineos regurgitacion
G,infeccioso meningomieloneuritis meningoencefalitis superreino bacterias meningomielitis espinal
Z,tejido trasplantado organo
D,aislada cromosomica anomalia
N,craurosis peneano balanitis xerotica obliterante
Z,admision extraccion profilactica organos profilactica
P,recien nacimiento postermino postermino
H,globo glaucoma ocular baja izquierdo
K,inguinal bilateral recidivada necrosis
Q,deformidad coroides
S,izquierda fracturas fracturas brazo humero
O,complica maltrato segundo sexual gestacion
G,postural inducido
H,derecho debidos trastornos corteza
O,muerte gestacion trimestre intrauterina
